dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function
cuda,adv_inception_v3,128,56.402493,53.921997,53.905476
cuda,beit_base_patch16_224,64,14.929320,13.302789,13.286845
cuda,botnet26t_256,128,20.917361,19.099260,19.084724
cuda,cait_m36_384,4,49.638545,45.702768,45.684984
cuda,coat_lite_mini,128,13.013799,11.456097,11.441281
cuda,convmixer_768_32,32,39.327184,37.745380,37.728568
cuda,convnext_base,64,17.506622,14.691988,14.675849
cuda,crossvit_9_240,128,28.573992,25.660250,25.644475
cuda,cspdarknet53,64,44.116845,39.955544,39.938933
cuda,deit_base_distilled_patch16_224,64,13.440018,11.934710,11.919831
cuda,dla102,128,63.792636,61.343482,61.326424
cuda,dpn107,32,75.913471,70.150347,70.132633
cuda,eca_botnext26ts_256,128,22.243742,20.243797,20.228633
cuda,eca_halonext26ts,128,24.907002,20.884012,20.869354
cuda,ese_vovnet19b_dw,128,15.964487,14.552554,14.537433
cuda,fbnetc_100,128,39.574840,37.126258,37.110473
cuda,fbnetv3_b,128,72.819307,69.086601,69.069134
cuda,gernet_l,128,36.523861,33.733902,33.717159
cuda,ghostnet_100,128,52.685028,50.565211,50.548949
cuda,gluon_inception_v3,128,57.199517,54.677453,54.660763
cuda,gluon_xception65,32,78.618843,76.042489,76.024322
cuda,gmixer_24_224,128,22.181986,20.158770,20.142424
cuda,gmlp_s16_224,128,23.366383,21.380460,21.361103
cuda,hrnet_w18,128,202.121351,194.446939,194.420103
cuda,inception_v3,128,57.866884,55.339679,55.321319
cuda,jx_nest_base,32,24.249499,21.602448,21.587018
cuda,lcnet_050,128,24.214124,21.421354,21.406941
cuda,levit_128,128,40.929967,38.301443,38.285795
cuda,mixer_b16_224,128,11.050664,10.103142,9.961972
cuda,mixnet_l,128,43.839424,39.452462,39.435377
cuda,tinynet_a,128,38.936829,36.224631,36.207779
cuda,twins_pcpvt_base,64,39.193279,35.511379,35.494013
cuda,visformer_small,128,20.662565,18.592849,18.576569
cuda,vit_base_patch16_224,64,13.576744,12.239657,12.224574
cuda,xcit_large_24_p8_224,5,62.256299,58.579992,58.561723
cuda,adv_inception_v3,128,57.509460,55.081834,55.065157
cuda,beit_base_patch16_224,64,14.933958,13.302878,13.287505
cuda,botnet26t_256,128,21.333987,19.540295,19.526210
cuda,cait_m36_384,4,49.833772,45.960485,45.942351
cuda,coat_lite_mini,128,13.557796,11.967690,11.952823
cuda,convmixer_768_32,32,39.234272,37.684369,37.667974
cuda,convnext_base,64,17.130389,14.389246,14.373852
cuda,crossvit_9_240,128,27.957798,25.312109,25.296036
cuda,cspdarknet53,64,43.595498,39.612210,39.595620
cuda,deit_base_distilled_patch16_224,64,13.501641,11.929759,11.914971
cuda,dla102,128,61.692602,59.385674,59.368122
cuda,dpn107,32,74.573113,68.854305,68.837447
cuda,eca_botnext26ts_256,128,22.494076,20.503473,20.488440
cuda,eca_halonext26ts,128,24.119802,20.767625,20.752875
cuda,ese_vovnet19b_dw,128,15.782139,14.350040,14.335447
cuda,fbnetc_100,128,38.991873,36.583361,36.566991
cuda,fbnetv3_b,128,75.178506,71.368488,71.350486
cuda,gernet_l,128,35.499633,32.875653,32.860240
cuda,ghostnet_100,128,50.978570,48.909554,48.892857
cuda,gluon_inception_v3,128,57.832942,55.345659,55.328705
cuda,gluon_xception65,32,77.937240,75.384616,75.367002
cuda,gmixer_24_224,128,23.164613,21.126073,21.109603
cuda,gmlp_s16_224,128,22.927432,20.932490,20.916785
cuda,hrnet_w18,128,207.074379,199.407469,199.381268
cuda,inception_v3,128,58.294595,55.843389,55.826118
cuda,jx_nest_base,32,24.233231,21.555275,21.539351
cuda,lcnet_050,128,24.106785,21.812388,21.797415
cuda,levit_128,128,40.975005,38.342646,38.326010
cuda,mixer_b16_224,128,11.249664,10.290274,10.275245
cuda,mixnet_l,128,43.159610,38.793324,38.776603
cuda,mnasnet_100,128,31.598232,29.593048,29.577489
cuda,mobilenetv2_100,128,38.862880,35.103188,35.087850
cuda,mobilenetv3_large_100,128,36.022565,32.292361,32.276819
cuda,pit_b_224,64,14.637436,13.169418,13.154114
cuda,pnasnet5large,16,127.904473,119.469864,119.447392
cuda,regnety_002,128,30.276935,26.046378,26.030681
cuda,repvgg_a2,128,35.956445,33.259118,33.243139
cuda,res2net101_26w_4s,64,103.414860,100.009119,99.990425
cuda,res2net50_14w_8s,128,92.709834,89.721939,89.704751
cuda,res2next50,128,51.467222,49.488853,49.472652
cuda,resmlp_12_224,128,7.152970,6.080709,6.066457
cuda,resnest101e,64,91.285422,87.266749,87.247285
cuda,rexnet_100,128,42.283322,39.415247,39.399541
cuda,sebotnet33ts_256,64,27.464642,25.079232,25.063441
cuda,selecsls42b,128,24.734944,23.846558,23.830500
cuda,spnasnet_100,128,39.177264,35.894065,35.878512
cuda,swin_base_patch4_window7_224,64,33.271454,28.990531,28.973716
cuda,swsl_resnext101_32x16d,32,63.596177,60.676346,60.658601
cuda,tf_efficientnet_b0,128,32.583930,30.290113,30.274885
cuda,tf_mixnet_l,128,45.026345,40.011945,39.994850
cuda,tinynet_a,128,38.216848,35.727046,35.710650
cuda,twins_pcpvt_base,64,38.231395,34.358021,34.340735
cuda,visformer_small,128,20.630794,18.321523,18.306816
cuda,vit_base_patch16_224,64,13.276226,11.921280,11.905418
cuda,xcit_large_24_p8_224,5,62.299651,58.591330,58.573179
